,Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Valid Values,Question,Core Section Number,Module Number
PVTRESD1,Private Residence?,Land Line Introduction,0,2,64,Num,PVTRESD1,Variable only on the land line survey,"{'1': {'Value Label': 'Yes\x97Go to LL.04, STATERE1', 'Frequency': '96,031', 'Percentage': '99.98', 'Weighted Percentage': '99.95'}, '2': {'Value Label': 'No\x97Go to LL.03, COLGHOUS', 'Frequency': '19', 'Percentage': '0.02', 'Weighted Percentage': '0.05'}, 'BLANK': {'Value Label': 'Missing\nNotes: QSTVER >= 20', 'Frequency': '349,082', 'Percentage': '.', 'Weighted Percentage': '.'}}","Is this a private residence?   [READ ONLY IF NECESSARY: By private residence, we mean someplace like a house or apartment.]",,
COLGHOUS,Do you live in college housing?,Land Line Introduction,0,3,65,Num,COLGHOUS,Variable only on the land line survey,"{'1': {'Value Label': 'Yes\x97Go to LL.04, STATERE1', 'Frequency': '19', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}, 'BLANK': {'Value Label': 'Missing\nNotes: QSTVER >= 20; or LL.02, PVTRESD1, is coded 1', 'Frequency': '445,113', 'Percentage': '.', 'Weighted Percentage': '.'}}",Do you live in college housing?,,
STATERE1,Resident of State,Land Line Introduction,0,4,66,Num,STATERE1,Variable only on the land line survey,"{'1': {'Value Label': 'Yes\x97Go to LL.05, CELPHON1', 'Frequency': '96,050', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER >= 20', 'Frequency': '349,082', 'Percentage': '.', 'Weighted Percentage': '.'}}",Do you currently live in  ____(state)____?,,
CELPHON1,Cellular Telephone,Land Line Introduction,0,5,67,Num,CELPHON1,Variable only on the land line survey,"{'1': {'Value Label': 'Yes, it is a cell phone\x97Terminate Phone Call', 'Frequency': '2', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, '2': {'Value Label': 'Not a cell phone\x97Go to LL.06, LADULT1', 'Frequency': '96,050', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}, 'BLANK': {'Value Label': 'Missing or Cell Phone Interview\nNotes: QSTVER >= 20', 'Frequency': '349,080', 'Percentage': '.', 'Weighted Percentage': '.'}}",Is this a cell telephone?,,
LADULT1,Are you 18 years of age or older?,Land Line Introduction,0,6,68,Num,LADULT1,Variable only on the land line survey,"{'1': {'Value Label': 'Yes\x97If LL.03, COLGHOUS, is 1 go to LL.07, COLGSEX1; else go to LL.08, NUMADULT', 'Frequency': '95,885', 'Percentage': '99.83', 'Weighted Percentage': '99.81'}, '2': {'Value Label': 'No\x97If LL.03, COLGHOUS, is 1 Terminate Phone Call, else go to LL.08, NUMADULT', 'Frequency': '165', 'Percentage': '0.17', 'Weighted Percentage': '0.19'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER >= 20', 'Frequency': '349,082', 'Percentage': '.', 'Weighted Percentage': '.'}}",Are you 18 years of age or older?,,
COLGSEX1,Are you male or female?,Land Line Introduction,0,7,69,Num,COLGSEX1,Variable only on the land line survey,"{'1': {'Value Label': 'Male\x97Go to Section 01.01 GENHLTH', 'Frequency': '5', 'Percentage': '23.81', 'Weighted Percentage': '32.60'}, '2': {'Value Label': 'Female\x97Go to Section 01.01 GENHLTH', 'Frequency': '16', 'Percentage': '76.19', 'Weighted Percentage': '67.40'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER >= 20; or if LL.03, COLGHOUS, is not coded 1', 'Frequency': '445,111', 'Percentage': '.', 'Weighted Percentage': '.'}}",Are you male or female?,,
NUMADULT,Number of Adults in Household,Land Line Introduction,0,8,70-71,Num,NUMADULT,Variable only on the land line survey,"{'1': {'Value Label': 'Number of adults in the household\x97Go to LL.09, LANDSEX1', 'Frequency': '43,689', 'Percentage': '45.49', 'Weighted Percentage': '31.05'}, '2': {'Value Label': 'Number of adults in the household\x97Go to LL.10, NUMMEN', 'Frequency': '43,123', 'Percentage': '44.90', 'Weighted Percentage': '48.40'}, '3': {'Value Label': 'Number of adults in the household\x97Go to LL.10, NUMMEN', 'Frequency': '6,634', 'Percentage': '6.91', 'Weighted Percentage': '12.92'}, '4': {'Value Label': 'Number of adults in the household\x97Go to LL.10, NUMMEN', 'Frequency': '1,919', 'Percentage': '2.00', 'Weighted Percentage': '5.28'}, '5': {'Value Label': 'Number of adults in the household\x97Go to LL.10, NUMMEN', 'Frequency': '456', 'Percentage': '0.47', 'Weighted Percentage': '1.75'}, '6 - 99': {'Value Label': '6 or more\x97Go to LL.10, NUMMEN', 'Frequency': '211', 'Percentage': '0.22', 'Weighted Percentage': '0.61'}, 'BLANK': {'Value Label': 'Missing\nNotes: QSTVER >= 20', 'Frequency': '349,100', 'Percentage': '.', 'Weighted Percentage': '.'}}","I need to randomly select one adult who lives in your household to be interviewed. Excluding adults living away from home, such as students away at college, how many members of your household, including yourself, are 18 years of age or older?",,
LANDSEX1,Are you male or female?,Land Line Introduction,0,9,72,Num,LANDSEX1,Variable only on the land line survey,"{'0': {'Value Label': '', 'Frequency': '1', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, '1': {'Value Label': 'Male\x97Go to C01.01, GENHLTH', 'Frequency': '13,424', 'Percentage': '30.72', 'Weighted Percentage': '31.52'}, '2': {'Value Label': 'Female\x97Go to C01.01, GENHLTH', 'Frequency': '30,247', 'Percentage': '69.22', 'Weighted Percentage': '68.37'}, '3': {'Value Label': 'Nonbinary\x97Insert Sex at Birth module or Terminate Phone Call', 'Frequency': '7', 'Percentage': '0.02', 'Weighted Percentage': '0.03'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Insert Sex at Birth module or Terminate Phone Call', 'Frequency': '7', 'Percentage': '0.02', 'Weighted Percentage': '0.01'}, '9': {'Value Label': 'Refused\x97Insert Sex at Birth module or Terminate Phone Call', 'Frequency': '10', 'Percentage': '0.02', 'Weighted Percentage': '0.06'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER >= 20; or if LL.08, NUMADULT, is greater than 1', 'Frequency': '401,436', 'Percentage': '.', 'Weighted Percentage': '.'}}",Are you male or female?,,
NUMMEN,Number of Adult men in Household,Land Line Introduction,0,10,73-74,Num,NUMMEN,Variable only on the land line survey,"{'0': {'Value Label': 'Number of adult men in the household', 'Frequency': '2,448', 'Percentage': '4.85', 'Weighted Percentage': '5.62'}, '1': {'Value Label': 'Number of adult men in the household', 'Frequency': '41,722', 'Percentage': '82.73', 'Weighted Percentage': '74.16'}, '2': {'Value Label': 'Number of adult men in the household', 'Frequency': '5,335', 'Percentage': '10.58', 'Weighted Percentage': '16.19'}, '3': {'Value Label': 'Number of adult men in the household', 'Frequency': '775', 'Percentage': '1.54', 'Weighted Percentage': '3.26'}, '4': {'Value Label': 'Number of adult men in the household', 'Frequency': '114', 'Percentage': '0.23', 'Weighted Percentage': '0.60'}, '5': {'Value Label': 'Number of adult men in the household', 'Frequency': '22', 'Percentage': '0.04', 'Weighted Percentage': '0.07'}, '6 - 99': {'Value Label': '6 or more', 'Frequency': '14', 'Percentage': '0.03', 'Weighted Percentage': '0.08'}, 'BLANK': {'Value Label': 'Missing\nNotes: QSTVER >= 20; or if LL.08, NUMADULT, is equal to 1', 'Frequency': '394,702', 'Percentage': '.', 'Weighted Percentage': '.'}}",How many of these adults are men?,,
NUMWOMEN,Number of Adult women in Household,Land Line Introduction,0,11,75-76,Num,NUMWOMEN,Variable only on the land line survey,"{'0': {'Value Label': 'Number of adult women in the household', 'Frequency': '1,080', 'Percentage': '2.14', 'Weighted Percentage': '2.38'}, '1': {'Value Label': 'Number of adult women in the household', 'Frequency': '42,129', 'Percentage': '83.53', 'Weighted Percentage': '74.82'}, '2': {'Value Label': 'Number of adult women in the household', 'Frequency': '6,203', 'Percentage': '12.30', 'Weighted Percentage': '18.38'}, '3': {'Value Label': 'Number of adult women in the household', 'Frequency': '841', 'Percentage': '1.67', 'Weighted Percentage': '3.61'}, '4': {'Value Label': 'Number of adult women in the household', 'Frequency': '127', 'Percentage': '0.25', 'Weighted Percentage': '0.55'}, '5': {'Value Label': 'Number of adult women in the household', 'Frequency': '30', 'Percentage': '0.06', 'Weighted Percentage': '0.21'}, '6 - 99': {'Value Label': '6 or more', 'Frequency': '23', 'Percentage': '0.05', 'Weighted Percentage': '0.05'}, 'BLANK': {'Value Label': 'Missing\nNotes: QSTVER >= 20; or if LL.08, NUMADULT, is equal to 1', 'Frequency': '394,699', 'Percentage': '.', 'Weighted Percentage': '.'}}",So the number of women in the household is [X]. Is that correct?,,
RESPSLCT,Respondent selection,Land Line Introduction,0,12,77,Num,RESPSLCT,Question:  The person in your household that I need to speak with is [XXX]. Are you the [XXX] in this household,"{'1': {'Value Label': 'Male\x97Go to Section 01.01 GENHLTH', 'Frequency': '22,268', 'Percentage': '42.62', 'Weighted Percentage': '41.71'}, '2': {'Value Label': 'Female\x97Go to Section 01.01 GENHLTH', 'Frequency': '29,982', 'Percentage': '57.38', 'Weighted Percentage': '58.29'}, '3': {'Value Label': '', 'Frequency': '1', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Terminate Phone Call', 'Frequency': '2', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER >= 20; or if LL.08, NUMADULT, is equal to 1', 'Frequency': '392,879', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,
SAFETIME,Safe time to talk,Cell Phone Introduction,0,1,78,Num,SAFETIME,Variable only on the cell phone survey,"{'1': {'Value Label': 'Yes\x97Go to CP.02, CTELNUM1', 'Frequency': '349,081', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER < 20', 'Frequency': '96,051', 'Percentage': '.', 'Weighted Percentage': '.'}}",Is this a safe time to talk with you?,,
CTELNUM1,Correct Phone Number?,Cell Phone Introduction,0,2,79,Num,CTELNUM1,Variable only on the cell phone survey,"{'1': {'Value Label': 'Yes\x97Go to CP.03, CELLFON5', 'Frequency': '349,079', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}, '2': {'Value Label': 'No\x97Terminate Phone Call', 'Frequency': '2', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER < = 20', 'Frequency': '96,051', 'Percentage': '.', 'Weighted Percentage': '.'}}",Is this     (phone number)     ?,,
CELLFON5,Is this a cell phone?,Cell Phone Introduction,0,3,80,Num,CELLFON5,Variable only on the cell phone survey,"{'1': {'Value Label': 'Yes\x97Go to CP.04, CADULT1', 'Frequency': '349,081', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER < 20', 'Frequency': '96,051', 'Percentage': '.', 'Weighted Percentage': '.'}}",Is this a cell phone?,,
CADULT1,Are you 18 years of age or older?,Cell Phone Introduction,0,4,81,Num,CADULT1,Variable only on the cell phone survey,"{'1': {'Value Label': 'Yes\x97Go to CP.05, CELLSEX1', 'Frequency': '349,080', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER < 20', 'Frequency': '96,052', 'Percentage': '.', 'Weighted Percentage': '.'}}",Are you 18 years of age or older?,,
CELLSEX1,Are you male or female?,Cell Phone Introduction,0,5,82,Num,CELLSEX1,Variable only on the cell phone survey,"{'1': {'Value Label': 'Male\x97Go to CP.06, PVTRESD3', 'Frequency': '173,639', 'Percentage': '49.74', 'Weighted Percentage': '50.16'}, '2': {'Value Label': 'Female\x97Go to CP.06, PVTRESD3', 'Frequency': '174,948', 'Percentage': '50.12', 'Weighted Percentage': '49.68'}, '3': {'Value Label': 'Nonbinary\x97Insert Sex at Birth module or Terminate Phone Call', 'Frequency': '328', 'Percentage': '0.09', 'Weighted Percentage': '0.10'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Insert Sex at Birth module or Terminate Phone Call', 'Frequency': '51', 'Percentage': '0.01', 'Weighted Percentage': '0.02'}, '9': {'Value Label': 'Refused\x97Insert Sex at Birth module or Terminate Phone Call', 'Frequency': '113', 'Percentage': '0.03', 'Weighted Percentage': '0.03'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER < 20', 'Frequency': '96,053', 'Percentage': '.', 'Weighted Percentage': '.'}}",Are you male or female?,,
